oecd_subarea,cod_sub_area
Industria y Producción,12
Formación de Personal Docente,10
Informática,13
Ciencias Sociales y del Comportamiento,5
Artes,3
Periodismo e Información,17
Enseñanza Comercial y Administración,9
Arquitectura y Construcción,2
Ingeniería y Profesiones Afines,14
Derecho,8
Humanidades,11
Servicios de Seguridad,20
Ciencias de la Educación,6
Medicina,16
Servicios Sociales,19
Matemáticas y Estadísticas,15
Ciencias Físicas,4
Veterinaria,22
Ciencias de la Vida,7
"Agricultura, Silvicultura y Pesca",1
Protección del Medio Ambiente,18
Servicios de Transporte,21
